K,Error
1914,443737.2860247633
1915,434279.66601931426
1916,446404.3986676564
1917,441234.1300267612
1918,433415.1845904375
1919,438952.6602384756
1920,442318.3645761076
1921,443211.55375736754
1922,442145.39251942554
1923,442844.922582073
1924,443961.3223894462
1925,445005.7677029379
1926,451579.20994179806
1927,460500.8335133619
1928,459962.24928229954
1929,447608.4109390692
1930,435239.8590831217
1931,436229.6806643174
1932,435991.8243942985
1933,450840.56930158916
1934,454483.10255620105
1935,445356.9165066674
1936,439955.980482034
1937,442419.32187454903
1938,444853.9213113973
1939,467131.55933953216
1940,461054.783352998
1941,457133.1103099739
1942,476133.906477004
1943,458330.43093474465
1944,433163.2095238185
1945,446917.1534907783
1946,443589.276005387
1947,443094.00306181924
1948,423603.430049033
1949,424283.39353395754
1950,432400.484358833
1951,424565.5332207883
1952,443720.25264070014
1953,492912.3650498265
1954,507343.3779991381
1955,520981.1808723579
1956,515826.21671479364
1957,491456.0661499165
1958,469114.9905942697
1959,454123.168501848
1960,442040.7582055212
1961,425263.3312700901
1962,414366.77436712495
1963,407985.3482912281
1964,410907.4766851674
1965,410868.5458251429
1966,411620.1625934772
1967,412513.8778076281
1968,407387.96535437694
1969,408838.1048933313
1970,406221.3197421295
1971,407712.73084501724
1972,412223.04588269466
1973,413318.2047024474
1974,423148.0537906851
1975,410568.5721997689
1976,408760.1449529692
1977,427399.28360492416
1978,415909.7765219249
1979,408888.60190127714
1980,402893.3177250937
1981,409867.0870838807
1982,427837.2441637942
1983,411182.93618761806
1984,447037.06856079766
1985,432447.33427863504
1986,402495.6727471358
1987,421143.5717185851
1988,419972.07593497
1989,411850.7207451991
1990,421006.65081730986
1991,426164.57408767723
1992,429837.91845421185
1993,434983.07587792416
1994,440990.5656134149
1995,440898.0627484582
1996,438625.1013861147
1997,434802.57762908575
1998,435788.8695319028
1999,437221.0179581426
2000,425494.0636327383
2001,420433.0616574083
2002,421473.6844877454
2003,423069.6466126542
2004,420473.73120876553
2005,425332.94035087375
2006,415446.5910211821
2007,411846.20006312575
2008,413062.4255261035
2009,422276.42003551254
2010,426778.8473715359
2011,414522.87475748104
2012,406995.8913994367
2013,407238.57115691085
2014,435960.4394522645
2015,459651.00654396764
2016,425162.3751786128
2017,422926.01651521306
2018,427522.05948156095
2019,423729.8725560536
2020,420350.34938155796
2021,415952.9681912164
2022,407453.6067156496
2023,424364.77519848244
2024,421837.69020471256
2025,419879.8436900765
2026,419393.0904419591
2027,420576.9828101884
2028,420533.0357010301
2029,414695.7451456212
2030,408870.0241856016
2031,405757.0608977367
2032,406860.6107571083
2033,406040.4613076935
2034,410948.60727954854
2035,422314.06012346974
2036,428553.82337249996
2037,420323.01464974077
2038,419046.75324174506
2039,429088.4977060078
2040,420535.2998014293
2041,413736.17471984954
2042,406960.14788871125
2043,411779.4710876531
2044,407784.8594817506
2045,405395.63369596424
2046,400450.6315338363
2047,400837.1366872652
2048,407251.8097694212
2049,411177.5819412845
2050,406161.2982088575
2051,404416.4567185524
2052,407755.66784313915
2053,414341.53956283536
2054,437950.3641208023
2055,422757.3415940794
2056,411664.9906280009
2057,434143.63235435577
2058,436738.08407301264
2059,443161.5506068103
2060,440502.5978400632
2061,442056.86950053234
2062,435180.68576403684
2063,442214.37234173476
2064,465008.3818075555
2065,464078.49412050867
2066,426751.80114412546
2067,544578.0684592855
2068,522546.6304135167
2069,441963.76104273373
2070,484700.3748870817
2071,509153.95873248903
2072,521484.8690964471
2073,526768.0585991644
2074,530591.9951234831
2075,511862.52571273816
2076,499167.2193678067
2077,459471.77196828485
2078,434283.80631477566
2079,432440.7433659438
2080,436673.5105170842
2081,436186.9322131256
2082,443056.0868190982
2083,437302.90567263955
2084,433039.8900478831
2085,433103.2652858153
2086,431011.83303454024
2087,424371.6591420689
2088,421607.606975233
2089,416580.0978733889
2090,411070.2673665515
2091,409903.6232308822
2092,403747.29254898714
2093,404607.5914007124
2094,411689.1613049137
2095,420105.0683733198
2096,423574.7537277458
2097,416998.3772521204
2098,408861.7881669403
2099,399753.24805914215
2100,436602.81358185457
2101,410239.05570530985
2102,439264.31327778724
2103,429941.0224068985
2104,413786.6061545768
2105,417868.92963565444
2106,430290.5290894914
2107,426506.9202588461
2108,442436.478171336
2109,419332.31142585597
2110,421380.57178486063
2111,436027.50813610526
2112,504848.5781626042
2113,526479.8330646656
2114,541718.4420170491
2115,558681.9324240849
2116,558893.6913642096
2117,562795.4171702708
2118,564650.9694353422
2119,534152.8668857085
2120,528148.1169780951
2121,527288.8196149291
2122,497616.62505615695
2123,494286.58062621887
2124,483378.0531241483
2125,469600.1836115198
2126,463410.7852137357
2127,455856.1982582425
2128,449266.42743131623
2129,456948.05277036194
2130,467001.79145286535
2131,458044.1513741175
2132,430512.77644977905
2133,422073.00911403215
2134,421144.88148090226
2135,424043.98010658514
2136,450927.84826207254
2137,440109.89992912597
2138,427052.2903128633
2139,436119.1188761781
2140,459805.8195652372
2141,454359.53320225445
2142,458434.5544434428
2143,441210.259405359
2144,429321.36714523024
2145,419982.85444479587
2146,432518.5625964424
2147,429577.6833254328
2148,413473.2423282404
2149,406748.08080627717
2150,400590.0973184737
2151,403067.7834656335
2152,409622.0488195362
2153,482863.99328145746
2154,453069.7491979051
2155,452100.02932821674
2156,435603.53521948424
2157,646509.9910601574
2158,667980.0312582823
2159,693074.3429720529
2160,702869.7793469075
2161,672244.176333247
2162,647410.2747679893
2163,645792.9351459759
2164,626467.9235209541
2165,556762.7705081872
2166,493801.1505273186
2167,422765.0463487166
2168,417209.2159021506
2169,411088.57152364205
2170,414408.8014487439
2171,433116.0555654313
2172,443307.3803515769
2173,417924.2165764362
2174,413241.58625018474
2175,423858.1202653369
2176,429043.8285860131
2177,429763.1826934058
2178,453783.3526765538
2179,442697.5980465868
2180,423702.0164750347
2181,422846.25443346973
2182,415759.00711563765
2183,406632.13954374526
2184,404738.48049585323
2185,400680.78413206997
2186,393816.0075805413
2187,402083.9109042428
2188,399047.2766293162
2189,398826.51642918517
2190,411618.81391836156
2191,437591.40951497765
2192,421590.9304751798
2193,397560.03042605735
2194,463240.1670940948
2195,465292.4594975266
2196,437875.64603725006
2197,581153.6230142288
2198,506838.96817886684
2199,472035.1873293288
2200,450371.8732929433
2201,440257.81914789195
2202,439618.59837780544
2203,438756.4656375905
2204,437276.28493349976
2205,436292.5775521503
2206,434382.0938443522
2207,434127.0428411251
2208,435207.27826879657
2209,435905.83481653914
2210,429729.25359435903
2211,432577.33970069455
2212,434813.54655990156
2213,446073.8546693095
2214,428826.4120350613
2215,419667.2239479812
2216,415525.2334102562
2217,413495.510599293
2218,403504.01558852085
2219,404166.9196531152
2220,399819.6031984645
2221,399909.7178296749
2222,403749.64730185684
2223,426824.17432104924
2224,429402.64255645237
2225,405826.43368391367
2226,423740.0886909481
2227,424478.33833660174
2228,423614.6515075532
2229,434478.4121307479
2230,440128.76893660106
2231,432090.7430568224
2232,410470.28034777375
2233,412575.1755462185
2234,413697.5408651801
2235,412710.92598259327
2236,412829.3179422815
2237,403671.39194566134
2238,407872.4184984453
2239,411399.220083132
2240,410344.7454326423
2241,399686.1241190335
2242,396416.1119049141
2243,393232.31368986407
2244,392898.3630200125
2245,393576.55232514895
2246,397943.1692102052
2247,400007.14724888536
2248,407062.2283509932
2249,398907.95086965646
2250,398374.3159421696
2251,405225.09110853355
2252,409889.9186677763
2253,412075.99835306447
2254,410790.88933719875
2255,401542.1717794444
2256,412134.3662082151
2257,408593.55750613543
2258,462222.38852934726
2259,466354.11148816696
2260,429643.2095194552
2261,423873.6416925322
2262,420016.9358489794
2263,398126.34904316947
2264,407933.0283442666
2265,418862.83253896073
2266,410079.98851338215
2267,414315.68936074065
2268,406268.4449335751
2269,439247.442798258
2270,559454.2751342878
2271,527406.9658197055
2272,440990.15532748454
2273,495311.5322664159
2274,520615.6772772305
2275,532654.6164983775
2276,526017.9228893191
